iata,lat,lon,country,icao,tz,city,subd,size
HDY,6.93321,100.393,TH,VTSS,Asia/Bangkok,Hat Yai,Songkhla,small
VDH,17.515,106.59056,VN,VVDH,Asia/Ho_Chi_Minh,Dong Hoi,Yen-Bai,small
UIH,13.955,109.042,VN,VVPC,Asia/Ho_Chi_Minh,Quy Nohn,Khanh-Hoa,small
KYP,19.4264,93.5348,MM,VYKP,Asia/Yangon,Kyaukpyu,Rakhine,small
MDL,21.7022,95.9779,MM,VYMD,Asia/Yangon,Mandalay,Mandalay,medium
MOG,20.5168,99.2568,MM,VYMS,Asia/Yangon,Mong Hsat,Shan,small
BIK,-1.19002,136.108,ID,WABB,Asia/Jayapura,Biak-Supiori Island,Papua,small
DPS,-8.74817,115.167,ID,WADD,Asia/Makassar,Denpasar-Bali Island,Bali,large
BXD,-7.71463,139.575,ID,WAKE,Asia/Jayapura,Bade-Papua Island,Papua,small
BYQ,3.45572,117.867,ID,WALV,Asia/Makassar,Bunju Island,North Kalimantan,small
GLX,1.83833,127.786,ID,WAMA,Asia/Jayapura,Galela-Celebes Island,North Maluku,small
MNA,4.00694,126.673,ID,WAMN,Asia/Makassar,Karakelong Island,North Sulawesi,small
LUV,-5.66162,132.731,ID,WAPL,Asia/Jayapura,Langgur-Seram Island,Maluku,small
KEQ,-0.6371,133.12801,ID,WASE,Asia/Jayapura,Kebar-Papua Island,Papua,small
RDE,-1.58333,133.33299,ID,WASM,Asia/Jayapura,Merdei-Papua Island,Papua,small
LMN,4.8083,115.01,MY,WBGJ,Asia/Kuala_Lumpur,Limbang,Sarawak,small
MKM,2.90639,112.08,MY,WBGK,Asia/Kuching,Mukah,Sarawak,small
KPI,2.017,112.95,MY,WBGP,Asia/Kuching,Kapit,Sarawak,small
BKI,5.93721,116.051,MY,WBKK,Asia/Kuching,Kota Kinabalu,Sabah,large
SIQ,-0.47919,104.579,ID,WIDS,Asia/Jakarta,Pasirkuning-Singkep Island,Riau-Islands,small
DJB,-1.63802,103.644,ID,WIPA,Asia/Jakarta,Jambi-Sumatra Island,,small
MKZ,2.26336,102.252,MY,WMKM,Asia/Kuala_Lumpur,Malacca,,small
VIQ,-8.8838,126.373,TL,WPVQ,Asia/Dili,Viqueque,Viqueque,small
BJU,29.502,81.669,NP,VNBR,Asia/Kathmandu,Bajura,Far-Western,small
BDP,26.5708,88.0796,NP,VNCG,Asia/Kathmandu,Bhadrapur,Eastern Region,small
DNP,28.1111,82.2942,NP,VNDG,Asia/Kathmandu,Dang,Mid-Western,small
DHI,28.7533,80.5819,NP,VNDH,Asia/Kathmandu,Dhangarhi,Far-Western,small
RUK,28.627,82.195,NP,VNRK,Asia/Kathmandu,Rukumkot,Mid-Western,small
RPA,28.267,82.767,NP,VNRP,Asia/Kathmandu,Rolpa,Mid-Western,small
BLR,13.1979,77.7063,IN,VOBL,Asia/Kolkata,Bangalore,Karnataka,large
COK,10.152,76.4019,IN,VOCI,Asia/Kolkata,Cochin,Kerala,large
IXE,12.9613,74.8901,IN,VOML,Asia/Kolkata,Mangalore,Karnataka,medium
VCL,15.4033,108.706,VN,VVCA,Asia/Ho_Chi_Minh,Dung Quat Bay,,small
DLI,11.75,108.367,VN,VVDL,Asia/Ho_Chi_Minh,Dalat,Lam-Dồng,small
NHA,12.2275,109.192,VN,VVNT,Asia/Ho_Chi_Minh,Nha Trang,Khanh-Hoa,small
TBB,13.0496,109.334,VN,VVTH,Asia/Ho_Chi_Minh,Tuy Hoa,Vinh-Long,small
THD,19.90167,105.46778,VN,VVTX,Asia/Ho_Chi_Minh,Thanh Hóa,,small
